2020 UM1,265.3,199.2,6.1,0.59,0.74,1.8,2.5,0.407,2.87,2.42,25.8
2013 TA81,272.6,64.5,4.3,0.24,1.71,2.25,2.5,0.292,2.79,3.38,19.2
2024 JZ11,50.9,169.5,6.7,0.16,2.44,2.92,2.5,0.198,3.4,4.99,18.3
2005 YG177,226.2,289.2,11.2,0.12,2.37,2.7,2.5,0.222,3.04,4.44,17.7
2021 US10,24,40.7,11.4,0.28,2.3,3.2,2.5,0.172,4.1,5.73,18.3
-150679,254.7,77,2.3,0.2,1.89,2.37,2.5,0.27,2.85,3.65,17.2
2023 ST70,320,71.8,8.1,0.29,2.14,3,2.5,0.189,3.87,5.2,18.2
-582882,315.2,250.5,6.1,0.16,2.14,2.55,2.5,0.243,2.95,4.06,18.4
-121490,231.7,190.1,3.5,0.08,2.55,2.78,2.5,0.212,3.02,4.64,15.8
2023 HG35,215.5,21.2,13.5,0.12,2.39,2.7,2.5,0.222,3.02,4.44,18.5
2012 SQ81,295.4,79.7,3.4,0.2,1.88,2.36,2.5,0.272,2.83,3.62,18.5
-673522,128.1,1,13.2,0.15,2.39,2.79,2.5,0.211,3.2,4.67,17.2
-166889,346.8,88.6,5.9,0.14,2.63,3.05,2.5,0.185,3.46,5.32,15
2006 DW194,254.3,322.1,1.6,0.15,1.98,2.31,2.5,0.28,2.65,3.52,19.3
2018 AA7,276.7,274.8,12.9,0.32,2.13,3.15,2.5,0.176,4.17,5.6,18.3
2008 CN234,269.7,125.2,8.4,0.21,2.13,2.7,2.5,0.223,3.26,4.43,17.9
2021 DL9,140.7,2.5,13.6,0.2,2.11,2.65,2.5,0.229,3.19,4.31,19.1
2005 HB,132.6,90.3,10,0.61,1.06,2.7,2.5,0.222,4.34,4.43,21.1
2024 CE20,59.2,120.7,10.3,0.1,2.73,3.03,2.5,0.187,3.33,5.27,17.5
2002 PV201,80,246.7,10.2,0.32,1.81,2.64,2.5,0.23,3.48,4.29,18.6
-686782,124.2,115,6.6,0.1,2.91,3.23,2.5,0.17,3.55,5.81,16.6
-693370,165.6,44.4,5.6,0.1,2.43,2.71,2.5,0.221,2.99,4.46,18
2015 KM412,216.7,48,15.6,0.21,2.18,2.75,2.5,0.216,3.33,4.57,19.5
-262268,44.4,224,1.6,0.06,2.25,2.4,2.5,0.265,2.55,3.71,17.9
-347744,210,298.6,8.8,0.05,2.98,3.13,2.5,0.178,3.27,5.53,15.7
2024 BQ19,338.3,172.4,14,0.2,2.11,2.63,2.5,0.231,3.15,4.26,19
2011 US92,358.5,24.8,3,0.21,2.18,2.76,2.5,0.215,3.34,4.58,19.1
2023 PK3,58.2,290.8,10,0.19,1.9,2.36,2.5,0.272,2.81,3.62,19.7
-212913,306.9,48.4,6.5,0.17,2.13,2.57,2.5,0.239,3.01,4.12,16.2
-641169,147.5,3.4,6.4,0.15,1.97,2.31,2.5,0.28,2.66,3.52,18.9
2019 NH31,253.6,143.7,2.8,0.2,1.86,2.32,2.5,0.279,2.78,3.53,18.6
-589295,68.9,355.4,4.8,0.01,5.25,5.29,2.5,0.081,5.33,12.17,14.6
2014 HO317,296.4,105.2,3.1,0.07,2.14,2.31,2.5,0.281,2.48,3.51,19.7
2017 FE13,292.3,158.2,22.8,0.08,1.78,1.94,2.5,0.366,2.09,2.69,18.2
2015 MX208,337.6,26.4,6.4,0.23,2.03,2.65,2.5,0.228,3.27,4.32,18.2
2003 SL449,1.8,350.4,3.6,0.26,1.71,2.31,2.5,0.281,2.91,3.51,20.5
2018 BJ33,287.6,148.8,8.6,0.21,2.17,2.74,2.5,0.218,3.3,4.52,18.4
2017 BC255,87.7,301.5,15.5,0.24,1.99,2.61,2.5,0.233,3.24,4.23,18.7
-194998,37.1,88.8,3.9,0.1,2.16,2.39,2.5,0.266,2.62,3.7,16.4
2024 BW15,43.5,116.5,26.4,0.15,2.02,2.39,2.5,0.267,2.75,3.69,18.7
2017 SV330,0.6,344.6,20.7,0.07,1.69,1.82,2.5,0.401,1.96,2.46,20.2
-398559,44.9,225.6,11.6,0.18,2.29,2.79,2.5,0.212,3.28,4.65,16.7
2018 YN8,136.6,331.7,3.3,0.02,3.12,3.19,2.5,0.173,3.26,5.7,17.3
-69941,235.8,92.9,12.1,0.07,2.87,3.07,2.5,0.183,3.28,5.39,13.9
2014 RA5,112.4,225,5.1,0.17,1.78,2.13,2.5,0.317,2.48,3.11,19.6
2021 JW4,194.2,80.5,6.5,0.49,1.13,2.21,2.5,0.3,3.29,3.29,23.9
2017 UR135,42.7,358.8,5.2,0.2,2.11,2.62,2.5,0.232,3.14,4.24,18.6
-209182,127.6,255.5,3.9,0.15,2.23,2.61,2.5,0.233,2.99,4.22,16.2
2016 PB130,175.9,272,26.4,0.08,2.89,3.16,2.5,0.176,3.42,5.61,16.1
2022 WQ18,46.4,46.8,3.4,0.12,2.07,2.37,2.5,0.271,2.66,3.64,19.3
-563920,37.4,7.6,10.9,0.03,2.96,3.05,2.5,0.185,3.14,5.32,16.6
2010 JL19,187.2,12.1,10.1,0.23,2.1,2.74,2.5,0.217,3.38,4.53,17.5
2024 SV47,260.7,129.2,18.2,0.26,2.3,3.13,2.5,0.178,3.96,5.54,17.6
-567035,310.8,67.9,19.9,0.1,2.81,3.13,2.5,0.178,3.44,5.53,16.3
2006 SX242,336.4,57.3,2.4,0.19,1.9,2.34,2.5,0.276,2.77,3.57,19.5
2017 SE26,176.4,171.6,3.5,0.21,2.12,2.69,2.5,0.223,3.26,4.42,19.4
-147129,130.8,294.2,4.7,0.22,1.85,2.36,2.5,0.272,2.87,3.62,16.5
2007 RM53,60,336.7,8.4,0.12,2.64,3,2.5,0.189,3.37,5.21,17.6
2011 BL195,218.4,134.2,1.5,0.03,2.36,2.42,2.5,0.262,2.48,3.77,18.8
2020 SU54,18.4,30.2,5.3,0.29,1.86,2.62,2.5,0.232,3.37,4.24,19.3
2011 WG52,158.7,241.7,2.9,0.25,1.98,2.66,2.5,0.228,3.33,4.33,18.9
-437195,340.8,61,11.2,0.09,2.84,3.11,2.5,0.179,3.39,5.5,16.4
2014 KX173,161.2,228.5,9.1,0.21,2.06,2.6,2.5,0.236,3.13,4.18,18.8
-728299,62.1,330.9,6.9,0.24,2.11,2.77,2.5,0.214,3.42,4.6,17
2019 WW3,161.4,241.2,29.1,0.4,1.38,2.32,2.5,0.279,3.26,3.53,21.1
2015 HZ329,88.5,34.3,6.6,0.01,2.66,2.69,2.5,0.224,2.71,4.41,18.8
2021 HD33,275.9,60.4,1.8,0.09,2.42,2.65,2.5,0.228,2.88,4.32,18.6
2014 SH161,35,350.4,1.8,0.1,2.42,2.7,2.5,0.223,2.97,4.43,17.9
2024 OY19,35.1,314.4,6.8,0.23,1.75,2.27,2.5,0.289,2.79,3.42,20
2020 UT37,145.3,265.4,13.7,0.25,2.39,3.19,2.5,0.173,3.99,5.7,18.1
2017 DQ147,123.8,35.8,10.4,0.14,2.4,2.8,2.5,0.211,3.2,4.68,18
-702514,169.5,94.2,6.1,0.12,2.35,2.69,2.5,0.224,3.02,4.41,17.4
-531442,32.7,11.1,21.3,0.08,1.78,1.93,2.5,0.367,2.09,2.68,18.3
2019 SL249,113.6,233.9,13.9,0.14,2.54,2.95,2.5,0.195,3.35,5.06,17.7
2019 HY13,49.2,183.9,3.2,0.09,2.18,2.39,2.5,0.266,2.6,3.71,19
2005 QT75,66.2,298,12.7,0.07,3.03,3.25,2.5,0.169,3.46,5.85,15.9
-630283,66.2,298,12.7,0.07,3.03,3.25,2.5,0.169,3.46,5.85,15.9
-731873,345.3,347,1.9,0.07,2.98,3.19,2.5,0.173,3.41,5.7,17.1
-269387,254.8,103,2.5,0.2,1.92,2.42,2.5,0.263,2.91,3.75,17.5
-715812,52.4,357.4,5.3,0.04,2.56,2.66,2.5,0.228,2.75,4.33,17.7
2017 FO182,80.8,44.6,11.4,0.11,2.72,3.07,2.5,0.184,3.41,5.37,17.6
-626076,289.5,63.7,3,0.24,2.02,2.66,2.5,0.227,3.29,4.33,18
2015 KH127,264.2,64.5,10.8,0.26,1.79,2.43,2.5,0.26,3.07,3.79,18.2
2023 TZ78,336.6,54.3,16.7,0.14,2.22,2.59,2.5,0.237,2.95,4.17,18.3
2014 OA322,171.2,126.8,3,0.2,2.51,3.13,2.5,0.178,3.76,5.55,18.4
2022 RU37,155,186.9,15.7,0.36,1.77,2.76,2.5,0.215,3.74,4.58,19.8
2023 FK4,144,6.8,14.1,0.16,1,1.2,2.5,0.754,1.39,1.31,27.2
-56176,4.9,56.2,7.9,0.04,2.63,2.73,2.5,0.218,2.84,4.52,14.4
-199251,333.1,121,27.2,0.14,2.03,2.37,2.5,0.271,2.7,3.64,15.9
2020 UZ39,236.9,154.7,4.1,0.19,2.06,2.54,2.5,0.244,3.01,4.04,19.2
-536084,30,354.7,8.4,0.1,2.72,3.04,2.5,0.186,3.36,5.31,16.5
2020 OE112,112,84.4,10.8,0.01,3,3.03,2.5,0.187,3.06,5.27,17.6
2013 AV206,182.1,296.4,8.6,0.19,2.22,2.73,2.5,0.218,3.24,4.52,18.6
-442312,54.9,317.3,12.5,0.19,2.16,2.68,2.5,0.225,3.19,4.38,16.3
-462580,313,298,0.4,0.15,1.99,2.35,2.5,0.273,2.72,3.61,18.1
2022 ED2,120.7,332.9,2,0.55,0.79,1.75,2.5,0.427,2.7,2.31,26.6
-301411,90.8,339,14,0.11,2.29,2.57,2.5,0.239,2.85,4.12,16.8
2016 TC84,330,13.2,5.6,0.25,1.76,2.34,2.5,0.275,2.93,3.59,19.2
-177176,296.5,172,6.2,0.12,1.94,2.2,2.5,0.301,2.47,3.27,17
2024 RO128,225.7,144.4,3.5,0.19,2.25,2.78,2.5,0.213,3.31,4.63,19
-367043,97.8,66.7,2.1,0.14,2.74,3.18,2.5,0.173,3.63,5.68,16.4
2019 AP5,315.1,85.3,14.1,0.58,1.43,3.41,2.5,0.157,5.39,6.3,18.5
2005 CE41,303.5,143.1,2.8,0.52,0.86,1.78,2.5,0.414,2.71,2.38,23.8
2022 LW11,348.4,325.6,10.4,0.24,2.3,3.02,2.5,0.187,3.75,5.26,17.8
-50649,46,289.7,8.7,0.15,2.33,2.73,2.5,0.218,3.14,4.52,14
-374257,308.1,15.6,11.7,0.1,2.92,3.24,2.5,0.169,3.57,5.84,16
2021 LD25,126.3,171.1,9,0.23,2.09,2.72,2.5,0.22,3.35,4.48,18.6
2021 UL53,40.6,10.6,10.2,0.08,2.76,3.01,2.5,0.188,3.26,5.23,17.4
2017 QB194,242.2,169.7,15.9,0.26,2.35,3.16,2.5,0.175,3.97,5.62,18.2
-427917,50.2,76.6,5.5,0.21,2.03,2.58,2.5,0.237,3.14,4.15,18.1
2008 YJ187,92.9,270.5,2.8,0.21,2.04,2.6,2.5,0.236,3.15,4.18,18
-469615,22.5,321,26.1,0.06,38.22,40.71,2.5,0.004,43.2,260,6.1
-508918,123.4,146.7,36.2,0.61,0.52,1.35,2.5,0.627,2.18,1.57,19.3
2023 QH30,183.6,156.8,3.3,0.22,1.73,2.21,2.5,0.299,2.7,3.29,20.5
2021 RJ169,42,354.2,6.1,0.22,2.09,2.68,2.5,0.224,3.28,4.39,18.8
-569545,354.2,223.5,6.7,0.07,2.08,2.24,2.5,0.294,2.4,3.35,18.3
2015 PJ288,258.4,113.3,11.3,0.18,2.03,2.47,2.5,0.253,2.92,3.89,18.8
2016 UX137,330.7,57.2,3.2,0.13,2.29,2.63,2.5,0.231,2.97,4.27,19.1
(241418) Darmstadt,155,225.5,12.9,0.17,2.53,3.07,2.5,0.184,3.6,5.37,16.3
2017 UB161,203.2,133,15.3,0.26,1.92,2.61,2.5,0.234,3.3,4.21,18.4
-427334,215.7,174.6,12.1,0.07,2.75,2.95,2.5,0.194,3.16,5.07,16.2
2022 QQ71,217.9,113.2,3.5,0.21,1.83,2.33,2.5,0.277,2.83,3.56,19.8
-63612,157.8,215.5,7,0.16,2.06,2.46,2.5,0.255,2.87,3.87,15.6
2015 BH148,6,122.1,15.9,0.2,2.15,2.69,2.5,0.223,3.23,4.41,18.8
2023 RF2,4.1,341,26.4,0.1,1.18,1.31,2.5,0.658,1.44,1.5,24.1
2016 FU70,287.2,108.3,10.2,0.07,2.82,3.03,2.5,0.187,3.23,5.26,16.9
-732300,345.1,346.3,11.5,0.02,2.58,2.64,2.5,0.23,2.71,4.29,17.5
-216581,7.4,65.4,7,0.05,2.14,2.26,2.5,0.291,2.37,3.39,16.8
2020 BR123,72.1,64.5,4.7,0.07,2.44,2.61,2.5,0.233,2.79,4.23,18.2
-598519,163.1,20.9,7,0.07,2.15,2.31,2.5,0.28,2.47,3.51,18
-156673,53.4,205.6,8.6,0.1,2.75,3.06,2.5,0.184,3.38,5.36,15.1
-548996,275.4,129.3,5.4,0.16,1.86,2.22,2.5,0.299,2.57,3.3,17.8
2017 FM3,288.5,356.5,16.7,0.25,2.39,3.18,2.5,0.174,3.97,5.67,15.7
2014 WR597,281.6,153.1,6.8,0.16,2.22,2.65,2.5,0.229,3.07,4.31,18.5
2019 OS8,252.3,137,4.1,0.11,2.68,3.01,2.5,0.189,3.34,5.22,17.7
2017 XZ91,338.1,92.9,13.3,0.2,2.51,3.13,2.5,0.178,3.75,5.53,17.7
2013 EK181,164.4,49.9,24.1,0.16,1.97,2.33,2.5,0.276,2.7,3.57,18
-333328,14.9,334.9,9.9,0.1,2.87,3.2,2.5,0.172,3.54,5.74,15.4
-198197,24.1,65.6,4.2,0.21,1.95,2.48,2.5,0.253,3.01,3.9,16.8
2020 SQ44,190.5,211,10.2,0.23,2.09,2.72,2.5,0.219,3.35,4.49,19
2016 BG141,71.5,298.2,5.2,0.05,2.61,2.73,2.5,0.219,2.85,4.51,18
2007 TQ486,6.8,13.8,9.1,0.29,1.92,2.69,2.5,0.223,3.46,4.42,18.6
2020 TO66,28.8,20.6,10.8,0.25,2.32,3.1,2.5,0.18,3.88,5.46,18.2
-265390,52.1,9.4,11,0.14,2.47,2.86,2.5,0.204,3.25,4.84,16.1
-566749,310.2,68.9,7.5,0.08,2.65,2.88,2.5,0.202,3.11,4.89,16.6
2011 CZ106,233.9,308.3,0.5,0.06,2.19,2.33,2.5,0.278,2.46,3.55,19.1
-347063,141.9,58.4,5.8,0.1,2.51,2.78,2.5,0.213,3.05,4.63,16.6
2023 ML10,2.4,319.6,5,0.26,1.68,2.26,2.5,0.29,2.85,3.4,19.8
2003 SB470,287.2,98,2.1,0.19,1.86,2.3,2.5,0.283,2.74,3.49,20.2
-158773,130.5,221.3,2.7,0.16,2.54,3.03,2.5,0.187,3.52,5.27,15.9
-565077,72,111,6.4,0.08,2.06,2.24,2.5,0.294,2.42,3.35,18.4
2010 WK44,72.4,8.1,7.2,0.1,4.79,5.3,2.5,0.081,5.82,12.21,15.2
-17827,293.7,188.2,14.1,0.16,2.31,2.75,2.5,0.216,3.18,4.55,13.3
2019 VF39,33.6,301.6,16.4,0.27,1.92,2.62,2.5,0.232,3.32,4.24,18.7
-170579,315.6,100.3,15.9,0.27,1.9,2.61,2.5,0.234,3.32,4.21,15.5
2011 TV22,292.9,26.4,10,0.11,2.67,2.99,2.5,0.19,3.32,5.18,17.6
-319511,263.1,126.5,1.1,0.2,2.07,2.59,2.5,0.237,3.11,4.16,17.7
2015 PC330,256.9,102.3,2.9,0.28,1.78,2.48,2.5,0.253,3.18,3.9,19.9
2024 HL16,7.5,220.3,14.6,0.18,2.45,3,2.5,0.19,3.55,5.2,17.7
2017 DK131,154.4,27.1,6.6,0.04,2.22,2.3,2.5,0.282,2.39,3.5,18.6
2020 KD17,246.8,90.4,15.4,0.14,2.21,2.58,2.5,0.237,2.95,4.15,18.2
2020 HE104,219.7,75.9,18.1,0.23,2.31,2.98,2.5,0.191,3.66,5.15,17.8
2024 VJ,153.6,220.3,2.3,0.41,0.97,1.64,2.5,0.469,2.31,2.1,27.3
-409503,45.2,336.2,5,0.08,2.5,2.72,2.5,0.22,2.93,4.48,17
-204851,222.5,172.5,2.9,0.27,2.88,3.97,2.5,0.125,5.05,7.9,15.2
2014 UZ175,143.9,207,3.6,0.28,0.95,1.33,2.5,0.645,1.7,1.53,27.9
2019 UN73,214.4,173.4,5.7,0.11,2.03,2.28,2.5,0.286,2.53,3.45,19.7
2019 WA24,56,291.3,3.4,0.15,1.81,2.14,2.5,0.315,2.47,3.13,19.8
-644032,357.2,336.1,12.8,0.29,1.88,2.65,2.5,0.229,3.41,4.3,17
2022 VY3,168.7,275.5,19.1,0.13,1.58,1.8,2.5,0.407,2.03,2.42,19.6
2023 WB37,294.9,101.5,14.8,0.29,2.2,3.11,2.5,0.18,4.02,5.48,18.9
2016 UO69,334.5,40.6,4.1,0.25,2.29,3.07,2.5,0.184,3.84,5.37,17.8
-378117,259.2,214.8,4.7,0.19,1.87,2.3,2.5,0.282,2.73,3.49,18.5
-379527,157.8,325.7,29.6,0.09,2.34,2.56,2.5,0.24,2.79,4.1,16
-19342,284.2,135.8,2.8,0.23,1.95,2.53,2.5,0.244,3.12,4.03,15
2015 WV33,254.6,110.6,8.5,0.18,2.57,3.13,2.5,0.178,3.7,5.55,17.5
-592955,278.9,258,7,0.15,2.31,2.73,2.5,0.218,3.15,4.52,17.7
-694902,191.3,64.3,12.1,0.06,2.69,2.87,2.5,0.203,3.05,4.86,17.2
-703413,189.2,180.7,9.1,0.22,2.05,2.62,2.5,0.232,3.19,4.24,17.6
-610268,72.4,126.8,6.5,0.14,2.76,3.2,2.5,0.172,3.65,5.74,16.9
2019 AS103,348.7,123.4,7.2,0.21,1.84,2.34,2.5,0.275,2.84,3.58,19.8
2013 PS111,99.5,236.6,2.2,0.15,1.91,2.24,2.5,0.294,2.57,3.35,18.9
2007 TA463,29.4,322.6,2,0.24,1.73,2.28,2.5,0.287,2.82,3.44,18.8
2006 RT118,176.3,190,10.6,0.04,3.06,3.18,2.5,0.174,3.3,5.66,17.8
-404591,113.2,122.4,11.6,0.1,2.77,3.1,2.5,0.181,3.42,5.45,16.1
2018 DT3,149.1,25.4,17,0.4,1.61,2.71,2.5,0.221,3.8,4.46,19.6
-643320,310.3,99.6,6.1,0.12,2.41,2.76,2.5,0.215,3.1,4.58,17.2
-210870,309.5,1.5,6.2,0.03,2.73,2.81,2.5,0.209,2.89,4.71,15.9
2022 MZ4,95.9,215,6.4,0.32,1.58,2.31,2.5,0.281,3.04,3.51,20.3
2014 WR201,81.2,49.3,9.2,0.4,1.55,2.61,2.5,0.234,3.66,4.21,19
